date,time,away_team,away_score,home_team,home_score,venue,season,type
2024-12-19,Final,Ottawa,2,Minnesota,5,Xcel Energy Center,2025,regular
2024-12-21,Final OT,Montréal,4,Toronto,3,Coca-Cola Coliseum,2025,regular
2024-12-22,Final SO,Minnesota,4,New York,3,Prudential Center,2025,regular
2024-12-27,Final,Boston,2,Toronto,4,Coca-Cola Coliseum,2025,regular
2024-12-28,Final,Montréal,3,Minnesota,2,Xcel Energy Center,2025,regular
2024-12-29,Final,Ottawa,3,New York,1,Prudential Center,2025,regular
2024-12-30,Final,Boston,1,Montréal,3,Place Bell,2025,regular
2024-12-31,Final,Ottawa,2,Toronto,1,Coca-Cola Coliseum,2025,regular
2025-01-02,Final OT,Boston,3,Minnesota,4,Xcel Energy Center,2025,regular
2025-01-04,Final,New York,5,Minnesota,0,Xcel Energy Center,2025,regular
2025-01-05,Final SO,Montréal,2,Boston,3,Climate Pledge Arena,2025,regular
2025-01-07,Final,Ottawa,3,New York,2,Prudential Center,2025,regular
2025-01-08,Final OT,Boston,1,Minnesota,2,Xcel Energy Center,2025,regular
2025-01-08,Final,Montréal,4,Toronto,2,Rogers Arena,2025,regular
2025-01-11,Final OT,Boston,2,Ottawa,1,TD Place,2025,regular
2025-01-12,Final OT,Toronto,0,New York,1,Prudential Center,2025,regular
2025-01-12,Final,Montréal,2,Minnesota,4,Ball Arena,2025,regular
2025-01-14,Final,Toronto,4,Ottawa,2,TD Place,2025,regular
2025-01-15,Final SO,Minnesota,2,New York,3,Prudential Center,2025,regular
2025-01-17,Final,Minnesota,2,Montréal,4,Place Bell,2025,regular
2025-01-19,Final,Ottawa,1,Montréal,2,Videotron Centre,2025,regular
2025-01-21,Final,Ottawa,1,Minnesota,0,Xcel Energy Center,2025,regular
2025-01-22,Final,Toronto,1,Boston,4,Tsongas Center,2025,regular
2025-01-25,Final,New York,2,Toronto,4,Scotiabank Arena,2025,regular
2025-01-26,Final,Boston,2,Minnesota,5,Xcel Energy Center,2025,regular
2025-01-27,Final,New York,3,Ottawa,0,TD Place,2025,regular
2025-01-28,Final SO,Toronto,3,Minnesota,4,Xcel Energy Center,2025,regular
2025-01-29,Final,Ottawa,1,Montréal,4,Place Bell,2025,regular
2025-01-30,Final SO,Toronto,3,Montréal,4,Place Bell,2025,regular
2025-01-31,Final SO,New York,2,Boston,3,Tsongas Center,2025,regular
2025-02-01,Final,Ottawa,2,Toronto,4,Coca-Cola Coliseum,2025,regular
2025-02-02,Final,Montréal,2,New York,1,Prudential Center,2025,regular
2025-02-11,Final OT,Minnesota,2,Toronto,3,Coca-Cola Coliseum,2025,regular
2025-02-12,Final,Boston,4,New York,0,Prudential Center,2025,regular
2025-02-13,Final,Minnesota,3,Ottawa,8,TD Place,2025,regular
2025-02-14,Final,Boston,1,Toronto,3,Coca-Cola Coliseum,2025,regular
2025-02-15,Final,New York,2,Montréal,6,Place Bell,2025,regular
