date,time,away_team,away_score,home_team,home_score,venue,season,type
1/16/2025,7:00 pm EST,Minnesota,,Montréal,,Place Bell,2025,regular_season
1/18/2025,TBD,Ottawa,,Montréal,,TBD,2025,regular_season
1/20/2025,6:00 pm CST,Ottawa,,Minnesota,,Xcel Energy Center,2025,regular_season
1/21/2025,7:00 pm EST,Toronto,,Boston,,Tsongas Center,2025,regular_season
1/24/2025,TBD,New York,,Toronto,,TBD,2025,regular_season
1/25/2025,2:00 pm CST,Boston,,Minnesota,,Xcel Energy Center,2025,regular_season
1/26/2025,7:00 pm EST,New York,,Ottawa,,TD Place,2025,regular_season
1/27/2025,6:00 pm CST,Toronto,,Minnesota,,Xcel Energy Center,2025,regular_season
1/28/2025,7:00 pm EST,Ottawa,,Montréal,,Place Bell,2025,regular_season
1/29/2025,7:00 pm EST,Toronto,,Montréal,,Place Bell,2025,regular_season
1/30/2025,7:00 pm EST,New York,,Boston,,Tsongas Center,2025,regular_season
1/31/2025,2:00 pm EST,Ottawa,,Toronto,,Coca-Cola Coliseum,2025,regular_season
2/1/2025,1:00 pm EST,Montréal,,New York,,Prudential Center,2025,regular_season
2/10/2025,7:00 pm EST,Minnesota,,Toronto,,Coca-Cola Coliseum,2025,regular_season
2/11/2025,7:00 pm EST,Boston,,New York,,Prudential Center,2025,regular_season
2/12/2025,7:00 pm EST,Minnesota,,Ottawa,,TD Place,2025,regular_season
2/13/2025,7:00 pm EST,Boston,,Toronto,,Coca-Cola Coliseum,2025,regular_season
2/14/2025,2:00 pm EST,New York,,Montréal,,Place Bell,2025,regular_season
2/15/2025,TBD,Toronto,,Ottawa,,TBD,2025,regular_season
2/15/2025,1:00 pm EST,Minnesota,,Boston,,Tsongas Center,2025,regular_season
2/16/2025,4:00 pm EST,Boston,,New York,,Prudential Center,2025,regular_season
2/17/2025,7:00 pm EST,Minnesota,,Montréal,,Place Bell,2025,regular_season
2/18/2025,7:00 pm EST,Toronto,,New York,,Prudential Center,2025,regular_season
2/19/2025,7:00 pm EST,Boston,,Ottawa,,TD Place,2025,regular_season
2/21/2025,2:00 pm EST,Montréal,,Ottawa,,TD Place,2025,regular_season
2/22/2025,TBD,Boston,,New York,,TBD,2025,regular_season
2/22/2025,12:30 pm CST,Toronto,,Minnesota,,Xcel Energy Center,2025,regular_season
2/24/2025,7:00 pm EST,Toronto,,Montréal,,Place Bell,2025,regular_season
2/25/2025,7:00 pm EST,New York,,Ottawa,,TD Place,2025,regular_season
3/1/2025,TBD,Boston,,Montréal,,TBD,2025,regular_season
3/4/2025,7:00 pm EST,Minnesota,,Montréal,,Place Bell,2025,regular_season
3/5/2025,7:00 pm EST,New York,,Boston,,Tsongas Center,2025,regular_season
